Sample Name,Well Label,RNA Quality Score,Peak Count,RNA Area,rRNA Area Ratio [28S/18S],rRNA Height Ratio [28S/18S],rRNA Fast Area Ratio,5S Area,5S %Total,18S Area,18S %Total,28S Area,28S %Total
29,E04,4.99,13,47.91,0.08,0.44,0.48,0.37,0.01,2.02,0.04,0.17,0.00
106,B02,4.93,10,67.14,0.35,0.44,0.49,0.77,0.01,2.35,0.03,0.81,0.01
91,C12,4.92,18,303.96,0.58,0.66,0.58,6.20,0.02,21.77,0.07,12.52,0.04
49,A07,4.89,13,75.40,0.21,0.32,0.49,0.69,0.01,3.56,0.05,0.75,0.01
36,D05,4.77,20,461.36,0.13,0.13,0.50,9.69,0.02,34.73,0.08,4.39,0.01
27,C04,4.75,10,37.58,0.56,0.42,0.57,0.00,0.00,0.61,0.02,0.34,0.01
104,H01,4.75,12,72.16,0.76,0.90,0.61,0.86,0.01,2.58,0.04,1.95,0.03
51,C07,4.74,17,214.26,0.15,0.66,0.57,3.35,0.02,9.39,0.04,1.39,0.01
94,F12,4.68,22,397.52,0.71,0.30,0.49,6.86,0.02,7.38,0.02,5.22,0.01
108,D02,4.66,12,55.74,0.40,0.92,0.62,0.53,0.01,2.04,0.04,0.82,0.01
39,G05,4.64,17,380.98,0.08,0.13,0.53,6.06,0.02,29.71,0.08,2.51,0.01
26,B04,4.62,13,44.46,0.39,0.40,0.59,0.00,0.00,0.78,0.02,0.30,0.01
54,F07,4.61,10,50.29,0.65,1.03,0.64,0.23,0.00,1.34,0.03,0.87,0.02
41,A06,4.60,20,301.03,2.85,0.57,0.59,3.64,0.01,3.89,0.01,11.10,0.04
42,B06,4.59,21,307.43,0.42,0.23,0.51,4.66,0.02,6.56,0.02,2.74,0.01
38,F05,4.59,18,222.91,0.66,0.21,0.50,3.27,0.01,3.21,0.01,2.13,0.01
28,D04,4.58,11,31.86,0.56,0.59,0.67,0.00,0.00,1.59,0.05,0.88,0.03
31,G04,4.58,17,124.42,0.47,0.22,0.51,2.58,0.02,2.65,0.02,1.25,0.01
89,A12,4.52,15,109.15,0.31,0.22,0.52,1.41,0.01,1.80,0.02,0.55,0.01
99,C01,4.52,13,89.84,0.18,0.20,0.54,1.31,0.01,3.90,0.04,0.70,0.01
37,E05,4.51,18,160.31,0.26,0.17,0.54,2.36,0.01,5.68,0.04,1.49,0.01
50,B07,4.51,14,98.53,0.14,0.22,0.54,0.64,0.01,1.83,0.02,0.26,0.00
40,H05,4.50,20,280.24,0.46,0.21,0.53,3.65,0.01,5.79,0.02,2.65,0.01
117,E03,4.48,9,45.46,0.00,0.00,0.51,0.39,0.01,0.51,0.01,0.00,0.00
33,A05,4.48,17,328.26,1.91,0.52,0.60,6.05,0.02,4.26,0.01,8.13,0.02
43,C06,4.48,18,199.32,1.95,0.31,0.55,3.49,0.02,1.82,0.01,3.54,0.02
87,G11,4.48,17,180.26,0.30,0.15,0.53,3.07,0.02,3.85,0.02,1.16,0.01
119,G03,4.48,20,157.05,0.41,0.48,0.60,2.41,0.02,7.78,0.05,3.22,0.02
88,H11,4.47,19,270.36,0.35,0.19,0.53,4.48,0.02,5.59,0.02,1.97,0.01
35,C05,4.46,17,257.59,0.42,0.47,0.62,3.07,0.01,12.72,0.05,5.37,0.02
113,A03,4.46,14,72.71,0.15,0.28,0.54,0.60,0.01,1.25,0.02,0.19,0.00
116,D03,4.45,18,94.33,0.11,0.20,0.54,0.89,0.01,1.90,0.02,0.21,0.00
86,F11,4.45,16,402.12,0.29,0.39,0.62,7.02,0.02,24.87,0.06,7.26,0.02
81,A11,4.43,13,52.34,0.22,0.24,0.56,0.31,0.01,1.16,0.02,0.26,0.00
32,H04,4.43,22,194.70,0.28,0.26,0.53,2.96,0.02,3.86,0.02,1.08,0.01
133,E05,4.42,15,91.28,0.30,0.18,0.52,1.48,0.02,1.81,0.02,0.54,0.01
92,D12,4.40,15,107.64,0.15,0.19,0.55,1.15,0.01,2.55,0.02,0.38,0.00
67,C09,4.40,16,125.94,1.40,0.47,0.58,1.16,0.01,0.76,0.01,1.06,0.01
75,C10,4.39,19,94.72,0.18,0.45,0.63,0.90,0.01,4.29,0.05,0.78,0.01
112,H02,4.38,8,42.31,0.00,0.00,0.53,0.29,0.01,0.58,0.01,0.00,0.00
53,E07,4.37,14,68.89,0.58,0.50,0.61,0.51,0.01,0.62,0.01,0.36,0.01
122,B04,4.36,14,57.16,0.28,0.39,0.56,0.95,0.02,0.72,0.01,0.20,0.00
107,C02,4.33,7,29.52,0.00,0.00,0.54,0.25,0.01,0.42,0.01,0.00,0.00
98,B01,4.33,13,59.33,0.25,0.60,0.64,0.65,0.01,2.27,0.04,0.57,0.01
127,G04,4.33,11,67.97,0.00,0.00,0.52,1.09,0.02,1.16,0.02,0.00,0.00
120,H03,4.32,12,88.58,0.37,0.55,0.63,1.41,0.02,3.23,0.04,1.19,0.01
45,E06,4.32,9,41.18,0.00,0.00,0.56,0.42,0.01,1.79,0.04,0.00,0.00
126,F04,4.32,15,63.76,0.21,0.20,0.55,0.97,0.02,0.90,0.01,0.19,0.00
124,D04,4.30,15,82.68,0.04,0.20,0.56,1.48,0.02,3.07,0.04,0.11,0.00
63,G08,4.30,17,120.96,0.26,0.15,0.56,1.48,0.01,1.52,0.01,0.40,0.00
56,H07,4.29,16,106.70,0.01,0.10,0.59,0.84,0.01,5.61,0.05,0.05,0.00
132,D05,4.29,18,94.39,0.16,0.11,0.54,1.70,0.02,1.96,0.02,0.31,0.00
25,A04,4.29,16,58.14,0.00,0.00,0.57,0.14,0.00,1.69,0.03,0.00,0.00
46,F06,4.26,14,82.51,0.48,0.53,0.67,0.69,0.01,3.07,0.04,1.48,0.02
84,D11,4.26,21,160.42,0.11,0.10,0.57,2.18,0.01,4.73,0.03,0.54,0.00
60,D08,4.26,14,52.95,0.00,0.00,0.58,0.35,0.01,2.23,0.04,0.00,0.00
48,H06,4.25,14,78.52,0.27,0.40,0.64,0.57,0.01,2.64,0.03,0.71,0.01
96,H12,4.24,12,45.07,0.64,0.62,0.67,0.48,0.01,1.31,0.03,0.84,0.02
34,B05,4.24,15,94.65,0.07,0.17,0.60,1.05,0.01,4.34,0.05,0.28,0.00
123,C04,4.23,15,60.88,0.80,0.25,0.57,1.19,0.02,0.59,0.01,0.47,0.01
128,H04,4.21,12,61.57,0.00,0.00,0.55,0.92,0.01,1.53,0.02,0.00,0.00
134,F05,4.20,21,117.09,0.47,0.34,0.64,2.15,0.02,4.88,0.04,2.29,0.02
97,A01,4.17,9,41.90,0.00,0.00,0.57,0.41,0.01,0.78,0.02,0.00,0.00
30,F04,4.17,13,58.94,0.00,0.00,0.58,0.60,0.01,2.66,0.05,0.00,0.00
110,F02,4.16,11,57.90,0.00,0.00,0.60,0.61,0.01,2.88,0.05,0.00,0.00
70,F09,4.15,10,58.28,0.00,0.00,0.58,0.39,0.01,0.73,0.01,0.00,0.00
65,A09,4.11,12,45.56,0.39,0.46,0.69,0.31,0.01,1.81,0.04,0.70,0.02
115,C03,4.10,15,85.48,0.80,0.36,0.65,0.67,0.01,1.04,0.01,0.83,0.01
103,G01,4.09,7,23.68,0.00,0.00,0.66,0.00,0.00,0.29,0.01,0.00,0.00
73,A10,4.08,11,74.90,0.00,0.00,0.59,0.91,0.01,1.13,0.02,0.00,0.00
78,F10,4.08,11,51.76,0.00,0.00,0.60,0.30,0.01,0.90,0.02,0.00,0.00
69,E09,4.06,16,106.50,0.00,0.00,0.59,1.12,0.01,1.49,0.01,0.00,0.00
55,G07,4.04,9,42.41,0.00,0.00,0.60,0.30,0.01,0.47,0.01,0.00,0.00
44,D06,4.03,16,140.30,0.67,0.30,0.65,1.52,0.01,1.69,0.01,1.13,0.01
105,A02,4.02,16,70.21,0.00,0.00,0.60,1.01,0.01,1.52,0.02,0.00,0.00
95,G12,4.01,12,63.08,0.26,0.48,0.70,0.70,0.01,2.05,0.03,0.54,0.01
71,G09,4.01,11,57.15,0.00,0.00,0.61,0.56,0.01,2.07,0.04,0.00,0.00
68,D09,4.01,13,46.69,0.39,0.24,0.64,0.37,0.01,0.49,0.01,0.19,0.00
62,F08,4.01,18,169.85,0.00,0.00,0.60,2.70,0.02,1.92,0.01,0.00,0.00
66,B09,4.00,11,58.16,0.40,0.42,0.69,0.57,0.01,1.37,0.02,0.55,0.01
90,B12,3.98,19,138.39,0.05,0.06,0.61,2.24,0.02,3.71,0.03,0.17,0.00
114,B03,3.98,9,51.43,0.13,0.31,0.69,0.45,0.01,1.74,0.03,0.22,0.00
130,B05,3.97,12,55.65,0.00,0.00,0.59,0.99,0.02,1.15,0.02,0.00,0.00
58,B08,3.94,17,107.52,0.00,0.00,0.62,1.23,0.01,2.59,0.02,0.00,0.00
76,D10,3.93,9,41.22,0.10,0.27,0.70,0.32,0.01,1.34,0.03,0.13,0.00
85,E11,3.91,17,141.41,0.00,0.00,0.60,2.77,0.02,3.38,0.02,0.00,0.00
52,D07,3.90,14,85.31,0.20,0.26,0.70,0.74,0.01,3.20,0.04,0.64,0.01
125,E04,3.89,10,79.96,0.00,0.00,0.65,1.42,0.02,3.08,0.04,0.00,0.00
82,B11,3.87,16,78.88,0.00,0.00,0.64,0.60,0.01,2.15,0.03,0.00,0.00
24,H03,3.87,12,69.04,0.00,0.00,0.66,0.33,0.00,3.19,0.05,0.00,0.00
100,D01,3.85,13,75.59,0.61,0.35,0.69,1.07,0.01,0.56,0.01,0.34,0.00
118,F03,3.82,18,81.02,0.63,0.25,0.69,1.00,0.01,0.35,0.00,0.22,0.00
102,F01,3.77,10,38.10,0.00,0.00,0.64,0.57,0.01,0.48,0.01,0.00,0.00
79,G10,3.76,7,27.30,0.00,0.00,0.66,0.21,0.01,0.62,0.02,0.00,0.00
109,E02,3.74,7,22.16,0.00,0.00,0.74,0.00,0.00,0.30,0.01,0.00,0.00
83,C11,3.73,20,720.19,0.29,0.09,0.61,16.26,0.02,10.60,0.01,3.09,0.00
64,H08,3.72,13,59.90,0.00,0.00,0.67,0.66,0.01,1.82,0.03,0.00,0.00
131,C05,3.71,14,109.23,0.37,0.23,0.69,1.73,0.02,0.60,0.01,0.22,0.00
77,E10,3.66,12,60.12,0.04,0.17,0.75,0.43,0.01,2.48,0.04,0.10,0.00
47,G06,3.66,9,49.51,0.00,0.00,0.71,0.23,0.00,1.31,0.03,0.00,0.00
72,H09,3.64,7,40.36,0.00,0.00,0.72,0.37,0.01,1.17,0.03,0.00,0.00
129,A05,3.63,15,57.81,0.00,0.00,0.65,1.22,0.02,0.27,0.00,0.00,0.00
93,E12,3.58,14,67.51,0.42,0.37,0.76,0.64,0.01,0.43,0.01,0.18,0.00
111,G02,3.56,9,33.12,0.00,0.00,0.72,0.27,0.01,0.82,0.02,0.00,0.00
59,C08,3.56,6,27.40,0.00,0.00,0.79,0.00,0.00,0.55,0.02,0.00,0.00
23,G03,3.49,10,49.65,0.00,0.00,0.81,0.00,0.00,1.42,0.03,0.00,0.00
101,E01,3.48,7,23.24,0.00,0.00,0.74,0.17,0.01,0.25,0.01,0.00,0.00
61,E08,3.38,15,75.72,0.45,0.24,0.77,0.88,0.01,0.33,0.00,0.15,0.00
