DNA plate,DNAA Well,fish head number,Type,hdi category,sample,Sample name,date,notes,sonication number,library well
DNAA668,A01,23,HDI,hdi_c_,1,hdi_c_1,Dec. 2019,,1,A01
DNAA668,B01,24,HDI,hdi_c_,9,hdi_c_9,Dec. 2019,,2,B01
DNAA668,C01,25,HDI,hdi_c_,19,hdi_c_19,Dec. 2019,,3,C01
DNAA668,D01,26,HDI,hdi_c_,7,hdi_c_7,Dec. 2019,,4,D01
DNAA668,E01,27,HDI,hdi_c_,18,hdi_c_18,Dec. 2019,,5,E01
DNAA668,F01,28,HDI,hdi_c_,6,hdi_c_6,Dec. 2019,,6,F01
DNAA668,G01,29,HDI,hdi_c_,2,hdi_c_2,Dec. 2019,,7,G01
DNAA668,H01,30,HDI,hdi_c_,5,hdi_c_5,Dec. 2019,,8,H01
DNAA668,A02,31,HDI,hdi_c_,12,hdi_c_12,Dec. 2019,,9,A02
DNAA668,B02,32,HDI,hdi_c_,15,hdi_c_15,Dec. 2019,,10,B02
DNAA668,C02,33,HDI,hdi_c_,10,hdi_c_10,Dec. 2019,,11,C02
DNAA668,D02,34,HDI,hdi_c_,17,hdi_c_17,Dec. 2019,,12,D02
DNAA668,E02,35,HDI,hdi_c_,14,hdi_c_14,Dec. 2019,,13,E02
DNAA668,F02,36,HDI,hdi_c_,20,hdi_c_20,Dec. 2019,,14,F02
DNAA668,G02,37,HDI,hdi_c_,4,hdi_c_4,Dec. 2019,,15,G02
DNAA668,H02,38,HDI,hdi_c_,16,hdi_c_16,Dec. 2019,,16,H02
DNAA668,A03,39,HDI,hdi_c_,13,hdi_c_13,Dec. 2019,,17,A03
DNAA668,B03,40,HDI,hdi_c_,3,hdi_c_3,Dec. 2019,,18,B03
DNAA668,C03,41,HDI,hdi_c_,11,hdi_c_11,Dec. 2019,,19,C03
DNAA668,D03,42,HDI,hdi_c_,8,hdi_c_8,Dec. 2019,,20,D03
DNAA668,E03,43,HDI,hdi_A_,10,hdi_A_10,Dec. 2019,,21,E03
