sample_name_submitted,Sample ID,Year,plate_name,well_id,Sample
PL1A01,LDI_A_1,2019,plate1_,A01,LDI_A_1
PL1B01,LDI_A_2,2019,plate1_,B01,LDI_A_2
PL1C01,LDI_A_3,2019,plate1_,C01,LDI_A_3
PL1D01,LDI_A_4,2019,plate1_,D01,LDI_A_4
PL1E01,LDI_A_5,2019,plate1_,E01,LDI_A_5
PL1F01,LDI_A_6,2019,plate1_,F01,LDI_A_6
PL1G01,LDI_A_7,2019,plate1_,G01,LDI_A_7
PL1H01,LDI_A_8,2019,plate1_,H01,LDI_A_8
PL1A02,LDI_A_9,2019,plate1_,A02,LDI_A_9
PL1B02,LDI_A_10,2019,plate1_,B02,LDI_A_10
PL1C02,LDI_A_11,2019,plate1_,C02,LDI_A_11
PL1D02,LDI_A_12,2019,plate1_,D02,LDI_A_12
PL1E02,LDI_B_1,2019,plate1_,E02,LDI_B_1
PL1F02,LDI_B_2,2019,plate1_,F02,LDI_B_2
PL1G02,LDI_B_3,2019,plate1_,G02,LDI_B_3
PL1H02,LDI_B_4,2019,plate1_,H02,LDI_B_4
PL1A03,LDI_B_5,2019,plate1_,A03,LDI_B_5
PL1B03,LDI_B_6,2019,plate1_,B03,LDI_B_6
PL1C03,LDI_B_7,2019,plate1_,C03,LDI_B_7
PL1D03,LDI_B_8,2019,plate1_,D03,LDI_B_8
PL1E03,LDI_B_9,2019,plate1_,E03,LDI_B_9
PL1F03,LDI_B_10,2019,plate1_,F03,LDI_B_10
PL1G03,LDI_B_11,2019,plate1_,G03,LDI_B_11
PL1H03,LDI_B_12,2019,plate1_,H03,LDI_B_12
PL1A04,LDI_C_1,2019,plate1_,A04,LDI_C_1
PL1B04,LDI_C_2,2019,plate1_,B04,LDI_C_2
PL1C04,LDI_C_3,2019,plate1_,C04,LDI_C_3
PL1D04,LDI_C_4,2019,plate1_,D04,LDI_C_4
PL1E04,LDI_C_5,2019,plate1_,E04,LDI_C_5
PL1F04,LDI_C_6,2019,plate1_,F04,LDI_C_6
PL1G04,LDI_C_7,2019,plate1_,G04,LDI_C_7
