Family,Offspring Tag ID,Sire Tag ID,Dam Tag ID,PC,BroodYear
A,HDI_A_10,YD49_2,YO44_1,1,2018
A,HDI_A_18,YD49_2,YO44_1,1,2018
A,HDI_A_20,YD49_2,YO44_1,1,2018
A,HDI_B_19,YD49_2,YO44_1,1,2018
A,HDI_C_14,YD49_2,YO44_1,1,2018
A,HDI_C_18,YD49_2,YO44_1,1,2018
A,HDI_C_2,YD49_2,YO44_1,1,2018
A,HDI_C_7,YD49_2,YO44_1,1,2018
B,HDI_A_01,OG70_2,YR24_1,2,2018
B,HDI_A_03,OG70_2,YR24_1,2,2018
B,HDI_A_06,OG70_2,YR24_1,2,2018
B,HDI_A_09,OG70_2,YR24_1,2,2018
B,HDI_A_13,OG70_2,YR24_1,2,2018
B,HDI_A_19,OG70_2,YR24_1,2,2018
B,HDI_B_01,OG70_2,YR24_1,2,2018
B,HDI_B_09,OG70_2,YR24_1,2,2018
B,HDI_B_12,OG70_2,YR24_1,2,2018
B,HDI_B_13,OG70_2,YR24_1,2,2018
B,HDI_B_18,OG70_2,YR24_1,2,2018
B,HDI_C_11,OG70_2,YR24_1,2,2018
B,HDI_C_20,OG70_2,YR24_1,2,2018
B,HDI_C_3,OG70_2,YR24_1,2,2018
B,HDI_C_4,OG70_2,YR24_1,2,2018
B,HDI_C_5,OG70_2,YR24_1,2,2018
B,HDI_C_6,OG70_2,YR24_1,2,2018
B,HDI_C_8,OG70_2,YR24_1,2,2018
C,HDI_B_03,YO34_2,OC00_1,3,2018
C,HDI_B_04,YO34_2,OC00_1,3,2018
C,HDI_B_06,YO34_2,OC00_1,3,2018
C,HDI_B_08,YO34_2,OC00_1,3,2018
C,HDI_C_13,YO34_2,OC00_1,3,2018
C,HDI_C_16,YO34_2,OC00_1,3,2018
C,HDI_C_19,YO34_2,OC00_1,3,2018
D,HDI_A_11,OF17_2,YD40_1,4,2018
D,HDI_A_15,OF17_2,YD40_1,4,2018
D,HDI_A_16,OF17_2,YD40_1,4,2018
D,HDI_B_10,OF17_2,YD40_1,4,2018
D,HDI_B_17,OF17_2,YD40_1,4,2018
D,HDI_C_1,OF17_2,YD40_1,4,2018
D,HDI_C_9,OF17_2,YD40_1,4,2018
E,HDI_A_12,YO56_2,OG33_1,5,2018
E,HDI_B_02,YO56_2,OG33_1,5,2018
E,HDI_B_15,YO56_2,OG33_1,5,2018
F,HDI_A_02,YT64_2,YS25_1,6,2018
G,HDI_A_04,YT64_2,YS25_1,6,2018
